ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;gps_code;local_code;coordinates
BR-0001;small_airport;Tatamborá Flying Field;500.0;SA;BR;BR-SP;Ponta da Sela, Ilhabela;;;-23.888048, -45.446824
BR-0002;closed;Alegrete;;SA;BR;BR-RS;;;;-29.800277709960938, -55.76305389404297
BR-0003;closed;Fazenda Cana Brava;;SA;BR;BR-BA;;;;-17.418399810791016, -39.5817985534668
BR-0004;closed;Fazenda Sao Judas Tadeu;;SA;BR;BR-RO;;;;-12.617799758911133, -60.90079879760742
BR-0005;closed;Iguatemi;;SA;BR;BR-MS;;;;-23.63290023803711, -54.62969970703125
BR-0006;closed;Ilha Solteira;974.0;SA;BR;BR-SP;;;;-20.4217, -51.331402
BR-0007;closed;Irati;;SA;BR;BR-PR;;;;-25.503889083862305, -50.65388870239258
BR-0008;closed;Planura;;SA;BR;BR-MG;;;;-20.124399185180664, -48.69969940185547
BR-0009;closed;Ponta do Costa Airport;3.0;SA;BR;BR-RJ;Cabo Frio;;;-22.871901, -42.082802
BR-0010;closed;Senhor Do Bonfim;;SA;BR;BR-BA;;;;-10.47029972076416, -40.18280029296875
BR-0011;closed;Edmar Ferreira;1476.0;SA;BR;BR-GO;Buriti Alegre;;;-18.25749969482422, -48.90800094604492
BR-0012;closed;Maisa Airport;262.0;SA;BR;BR-RN;Mossoró;;;-5.02254, -37.5159
BR-0013;closed;Fazenda Campo Oliva - Nhecolândia;425.0;SA;BR;BR-MS;Corumbá;;;-18.500999, -55.450298
BR-0014;closed;Nova Jacuí Airport;1070.0;SA;BR;BR-RS;Salto do Jacuí;;;-29.118055555599998, -53.215833333300004
BR-0015;closed;Tucumã Airport;1060.0;SA;BR;BR-PA;Tucumã;;;-6.7488, -51.1478
BR-0016;small_airport;Alexânia Municipal Airport;3590.0;SA;BR;BR-GO;Alexânia;;;-16.06185, -48.5294
BR-0017;heliport;Guarulhos - Sao Paulo Airport Marriott Heliport;;SA;BR;BR-SP;;;;-23.4557270361, -46.4917990565
BR-0018;heliport;Fasano Hotel Heliport;;SA;BR;BR-SP;;;;-23.3322077122, -47.5599431992
BR-0019;heliport;Fazenda Boa Vista Heliport;1877.0;SA;BR;BR-SP;Porto Feliz;SJBM;SP0598;-23.361168, -47.568752
BR-0020;heliport;Semp Toshiba Jordanésia Heliport;2421.0;SA;BR;BR-SP;Cajamar;SSZJ;SP0793;-23.331697, -46.837288
BR-0021;heliport;Praia Grande Heliport;52.0;SA;BR;BR-ES;Fundão;SWUM;ES0024;-20.037825, -40.17903
BR-0022;small_airport;Fazenda Vale Verde;883.0;SA;BR;BR-MT;Nova Bandeirantes;;;-10.256456, -58.259247
BR-0023;small_airport;Bonfim Airport;296.0;SA;BR;BR-RR;Bonfim;;;3.3621, -59.8239
BR-0024;small_airport;Fazenda Montenegro Airport;27.0;SA;BR;BR-PA;Chaves;;;-0.2525, -49.52
BR-0025;small_airport;Punto do Carmo Airport;50.0;SA;BR;BR-PA;Chaves;;;-0.218, -49.764
BR-0026;small_airport;Afuá Municipal Airport;6.0;SA;BR;BR-PA;Afuá;;;-0.1581, -50.3881
BR-0027;small_airport;Anajás Airport;15.0;SA;BR;BR-PA;Anajás;;;-0.9852, -49.939
BR-0028;small_airport;Povoado Airport;27.0;SA;BR;BR-PA;Salvaterra;;;-0.7687, -48.5278
BR-0029;closed;Campo Limpo Airport;110.0;SA;BR;BR-PA;Santo Antônio;;;-0.963, -47.3542
BR-0030;closed;Cametá Airport;40.0;SA;BR;BR-PA;Cametá;;;-2.2426, -49.5074
BR-0031;small_airport;19P12 Airstrip;1500.0;SA;BR;BR-PI;Anisio de Abreu;;;-9.1736, -43.0513
BR-0032;small_airport;São Domingos Airstrip;2375.0;SA;BR;BR-GO;São Domingos;;;-13.4121, -46.2983
BR-0033;small_airport;Divinópolis de Goiás Airport;2105.0;SA;BR;BR-GO;Divinópolis de Goiás;;;-13.2956, -46.379
BR-0034;small_airport;Itajá Airstrip;1590.0;SA;BR;BR-GO;Itajá;;;-19.068, -51.53
BR-0035;small_airport;Aporé Airstrip;1880.0;SA;BR;BR-GO;Aporé;;;-18.94, -51.923
BR-0036;closed;Cedrolândia Airport;115.0;SA;BR;BR-PA;Senador José Porfírio;;;-2.53889, -51.946701
BR-0037;small_airport;Fazenda Primavera;2053.0;SA;BR;BR-GO;Aporé;;;-18.8333, -52.059
BR-0038;small_airport;Itaruma Airport;1698.0;SA;BR;BR-GO;Itaruma;;;-18.7807, -51.3587
BR-0039;small_airport;Cachoeira Alta Airport;1750.0;SA;BR;BR-GO;Cachoeira Alta;;;-18.7872, -50.9365
BR-0040;small_airport;Aerocéu Aviação Agrícola Airport;2749.0;SA;BR;BR-GO;Chapadão do Céu;SJAV;GO0067;-18.38829, -52.653599
BR-0041;closed;Old Rondonópolis Airport;1047.0;SA;BR;BR-MT;Rondonópolis;;;-16.446199417114, -54.664199829102
BR-0042;small_airport;Fazenda Santa Rita Airport;940.0;SA;BR;BR-GO;Itapirapuã;;;-15.3751, -51.045702
BR-0043;small_airport;Taxi Aero Airstrip;713.0;SA;BR;BR-GO;São Miguel do Araguaia;;;-13.1546, -50.593
BR-0044;small_airport;Vila Isabel Airstrip;720.0;SA;BR;BR-GO;São Miguel do Araguaia;;;-13.2133, -50.5657
BR-0045;small_airport;Fazenda São Miguel Airstrip;715.0;SA;BR;BR-GO;São Miguel do Araguaia;;;-13.2912, -50.5468
BR-0046;small_airport;Novo Planalto Airport;1025.0;SA;BR;BR-GO;Novo Planalto;;;-13.2391, -49.5138
BR-0047;small_airport;Teresina de Goiás Airport;2625.0;SA;BR;BR-GO;Teresina de Goiás;;;-13.7782, -47.282
BR-0048;closed;Caçu Airport;1889.0;SA;BR;BR-GO;Caçu;;;-18.5748, -51.1607
BR-0049;small_airport;Fazenda Vale do Sol Airport;2523.0;SA;BR;BR-MS;Serranópolis;SJ4Q;GO0329;-18.2887, -51.9412
BR-0050;small_airport;Portelândia Airstrip;2905.0;SA;BR;BR-GO;Portelândia;;;-17.3494, -52.6632
BR-0051;small_airport;Baliza Airport;1292.0;SA;BR;BR-GO;Baliza;;;-16.1997, -52.5261
BR-0052;small_airport;Bom Jardim de Goiás Airport;1378.0;SA;BR;BR-GO;Bom Jardim de Goiás;;;-16.2058, -52.1627
BR-0053;small_airport;Piranhas Airport;1278.0;SA;BR;BR-GO;Piranhas;;;-16.4406, -51.7742
BR-0054;small_airport;Caiapônia Airport;2488.0;SA;BR;BR-GO;Caiapônia;;;-16.9693, -51.8233
BR-0055;small_airport;Tesouro Airport;1487.0;SA;BR;BR-MT;Tesouro;;;-16.0734, -53.5692
BR-0056;small_airport;Guiratinga Airport;1785.0;SA;BR;BR-MT;Guiratinga;;;-16.283479, -53.770679
BR-0057;small_airport;Guiratinga 2 Airport;1770.0;SA;BR;BR-MT;Guiratinga;;;-16.3482, -53.7786
BR-0058;small_airport;Torixoréu Northwest Airport;1325.0;SA;BR;BR-MT;Torixoréu;;;-16.1753, -52.5761
BR-0059;small_airport;Anicuns Airport;2450.0;SA;BR;BR-GO;Anicuns;;;-16.4468, -49.9711
BR-0060;small_airport;Arenópolis Airstrip;1453.0;SA;BR;BR-GO;Arenópolis;;;-16.3833, -51.5803
BR-0061;small_airport;Fazenda Água Fria Airfield;570.0;SA;BR;BR-PA;Xinguara;SDOX;PA0034;-7.0161, -49.366
BR-0062;small_airport;Banaer Airport;98.0;SA;BR;BR-SP;Sete Barras;SDOS;SP0132;-24.419054, -47.869082
BR-0063;small_airport;Luiz Ribeiro Maia Airport;167.0;SA;BR;BR-AM;Tapauá;SDLR;AM0030;-5.636109, -63.185731
BR-0064;small_airport;Santo Antônio do Içá Airport;;SA;BR;BR-AM;Santo Antônio do Içá;;;-3.084476, -67.958457
BR-0065;small_airport;Anori Airport;82.0;SA;BR;BR-AM;Anori;;AG5683;-3.725643, -61.667054
BR-0066;small_airport;Fordlândia Airport;;SA;BR;BR-PA;Fordlândia;;;-3.791178, -55.470674
BR-0067;small_airport;Linha-dura Airport;;SA;BR;BR-PA;Medicilândia;;;-3.515242, -53.486152
BR-0068;small_airport;Medicilândia Airport;;SA;BR;BR-PA;Medicilândia;;;-3.400857, -52.95263
BR-0069;small_airport;São Luiz Airport;;SA;BR;BR-RR;São Luiz;;;1.01821, -60.026079
BR-0070;small_airport;Presidente Figueiredo Airport;;SA;BR;BR-AM;Presidente Figueiredo;;;-1.989875, -60.148936
BR-0071;small_airport;Itapiranga Airport;;SA;BR;BR-AM;Itapiranga;;;-2.736772, -58.026525
BR-0072;small_airport;Faro Airport;;SA;BR;BR-PA;Faro;;;-2.131061, -56.732522
BR-0073;small_airport;Curuai Airport;;SA;BR;BR-PA;Curuai;;;-2.289123, -55.477823
BR-0074;small_airport;Alta Floresta D'Oeste Airport;;SA;BR;BR-RO;Alta Floresta D'Oeste;;;-11.919358, -61.97612
BR-0075;small_airport;Rolim de Moura Airport;709.0;SA;BR;BR-RO;Rolim de Moura;SWBS;RO0028;-11.655585, -61.775907
BR-0076;small_airport;São Miguel do Guaporé Airport;;SA;BR;BR-RO;São Miguel do Guaporé;;;-11.703, -62.679631
BR-0077;small_airport;Rondolândia Airport;;SA;BR;BR-MT;Rondolândia;;;-10.861378, -61.495263
BR-0078;small_airport;Jaru Airport;;SA;BR;BR-RO;Jaru;;;-10.359504, -62.46073
BR-0079;small_airport;Extrema Airport;;SA;BR;BR-RO;Extrema;;;-9.771308, -66.331287
BR-0080;small_airport;Colorado do Oeste Airport;;SA;BR;BR-RO;Colorado do Oeste;;;-13.113405, -60.524276
BR-0081;small_airport;Cerejeiras Airport;;SA;BR;BR-RO;Cerejeiras;;;-13.183366, -60.839676
BR-0082;small_airport;Pimenteiras do Oeste Airport;;SA;BR;BR-RO;Pimenteiras do Oeste;;;-13.475905, -61.035152
BR-0083;small_airport;Associação Aerodesportivo de Espigão d'Oeste Airport;840.0;SA;BR;BR-RO;Espigão d'Oeste;SJE6;RO0088;-11.547936, -61.022681
BR-0084;small_airport;Pixaim Airport;;SA;BR;BR-MT;Pixaim;;;-16.741401, -56.836628
BR-0085;small_airport;Nova Mamoré Airport;;SA;BR;BR-RO;Nova Mamoré;;;-10.399912, -65.347213
BR-0086;small_airport;Aeroclube de Buritis Airport;;SA;BR;BR-RO;Buritis;SJ3R;RO0056;-10.206737, -63.854913
BR-0087;small_airport;Guaraí Airport;;SA;BR;BR-TO;Guaraí;;;-8.871896, -48.501531
BR-0088;small_airport;Presidente Kennedy Airport;;SA;BR;BR-TO;Presidente Kennedy;;;-8.544268, -48.508229
BR-0089;small_airport;Brasilândia do Tocantins Airport;;SA;BR;BR-TO;Brasilândia do Tocantins;;;-8.38962, -48.490579
BR-0090;small_airport;Colinas do Tocantins Airport;;SA;BR;BR-TO;Colinas do Tocantins;;;-8.143634, -48.478337
BR-0091;small_airport;Nova Olinda Airport;;SA;BR;BR-TO;Nova Olinda;;;-7.623877, -48.411781
BR-0092;heliport;Porto Franco Heliport;;SA;BR;BR-MA;Porto Franco;;;-6.446777, -47.404796
BR-0093;small_airport;Tocantinópolis Airport;791.0;SA;BR;BR-TO;Tocantinópolis;SDC9;TO0095;-6.333432, -47.471938
BR-0094;heliport;Condomínio Guaporé II Heliport;2082.0;SA;BR;BR-SP;Ribeirão Preto;SDAL;SP0289;-21.226647, -47.782073
BR-0095;small_airport;Fazenda Curitiba Airport;2682.0;SA;BR;BR-BA;Correntina;;;-13.7029, -45.6121
BR-0096;small_airport;Fazenda Agrovera Airport;1178.0;SA;BR;BR-MT;Porto dos Gaúchos;SDAR;MT0030;-11.872098, -56.277013
BR-0097;small_airport;Fazenda Santa Lucia Airport;712.0;SA;BR;BR-PA;Santa Maria das Barreiras;SDAY;PA0032;-8.922531, -50.348346
BR-0098;small_airport;Brasnorte Airport;1060.0;SA;BR;BR-MT;Brasnorte;SDNB;MT0044;-12.099274, -58.001527
BR-0099;small_airport;Brianorte Airport;;SA;BR;BR-MT;Brianorte;;;-12.279135, -57.342796
BR-0100;small_airport;Montes Altos Airport;;SA;BR;BR-MA;Montes Altos;;;-5.838959, -47.058035
BR-0101;small_airport;Amarante do Maranhão Airstrip;;SA;BR;BR-MA;Amarante do Maranhão;;;-5.5829, -46.741288
BR-0102;small_airport;Vitorino Freire Airport;;SA;BR;BR-MA;Vitorino Freire;;;-4.251292, -45.233199
BR-0103;small_airport;Zé Doca Airport;;SA;BR;BR-MA;Zé Doca;;;-3.263659, -45.66214
BR-0104;small_airport;Vargem Grande Airstrip;;SA;BR;BR-MA;Vargem Grande;;;-3.53481, -43.9239
BR-0105;small_airport;Chapadinha Airport;354.0;SA;BR;BR-MA;Chapadinha;;MA0086;-3.748136, -43.31068
BR-0106;small_airport;Esperantina Airport;;SA;BR;BR-PI;Esperantina;;;-3.896953, -42.260735
BR-0107;small_airport;Santa Quitéria do Maranhão Airport;;SA;BR;BR-MA;Santa Quitéria do Maranhão;;;-3.498477, -42.615958
BR-0108;small_airport;Piripiri Airport;561.0;SA;BR;BR-PI;Piripiri;SWAY;PI0068;-4.335206, -41.768978
BR-0109;closed;Santa Quitéria Airport;657.0;SA;BR;BR-CE;Santa Quitéria;;;-4.332152, -40.142722
BR-0110;small_airport;Taiobeiras Municipal Airport;2631.0;SA;BR;BR-MG;Taiobeiras;SITA;MG0109;-15.77619, -42.193654
BR-0111;small_airport;Castanheira Airport;;SA;BR;BR-MT;Castanheira;;;-11.135194, -58.599106
BR-0112;small_airport;Colniza Airport;525.0;SA;BR;BR-MT;Colniza;SIXZ;MT0152;-9.446215, -59.199477
BR-0113;small_airport;Machadinho d'Oeste Airport;427.0;SA;BR;BR-RO;Machadinho d'Oeste;SI7E;RO0061;-9.40307, -62.006018
BR-0114;closed;Cunatama Airport;184.0;SA;BR;BR-AM;Cunatama;;;-6.529527, -64.383895
BR-0115;small_airport;Lagoa Nova Airport;;SA;BR;BR-RN;Lagoa Nova;;;-6.038857, -36.454737
BR-0116;small_airport;Santa Cruz Airport;;SA;BR;BR-RN;Santa Cruz;;;-6.276513, -36.034278
BR-0117;small_airport;Fazenda São Paulo dos Palmares Airport;2814.0;SA;BR;BR-SP;Timburi;SDEB;SP0091;-23.270862, -49.546126
BR-0118;small_airport;Vila Operária Airport;;SA;BR;BR-MT;Dom Aquino;;;-15.82961, -54.933281
BR-0119;small_airport;Ponte Branca Airport;;SA;BR;BR-MT;Ponte Branca;;;-16.754234, -52.84266
BR-0120;small_airport;Ribeirãozinho Airport;;SA;BR;BR-MT;Ribeirãozinho;;;-16.492659, -52.700786
BR-0121;small_airport;Bom Despacho Airport;2411.0;SA;BR;BR-MG;Bom Despacho;SNGQ;MG0148;-19.687863, -45.269677
BR-0122;small_airport;Old Vacaria Airport;3215.0;SA;BR;BR-RS;Vacaria;;;-28.509722, -50.918331
BR-0123;closed;Fazenda Barra do Traitu Airport;1345.0;SA;BR;BR-SP;Araçatuba;;;-21.246944, -50.490276
BR-0124;small_airport;Boa Vista Airport;3845.0;SA;BR;BR-MG;Patrocínio;SDBJ;MG0079;-18.757635, -46.97078
BR-0125;small_airport;Francisco Lazaro da Silveira Airport;3209.0;SA;BR;BR-MG;Coromandel;SIWH;MG0115;-18.480246, -47.223786
BR-0126;small_airport;San Antonio Airport;;SA;BR;BR-GO;São Luís de Montes Belos;;;-16.547606, -50.418487
BR-0127;small_airport;Ivolândia Airport;;SA;BR;BR-GO;Ivolândia;;;-16.602639, -50.828542
BR-0128;heliport;Haras São Pedro do Alto Heliport;2057.0;SA;BR;BR-SP;Porto Feliz;SDBT;SP0301;-23.272781, -47.556164
BR-0129;heliport;Zimba D. Pedro I Heliport;2632.0;SA;BR;BR-SP;Itatiba;SDZM;SDZM;-23.033789, -46.733592
BR-0130;heliport;ThomasiCamargo Heliport;2465.0;SA;BR;BR-SP;Santa Rita do Passa Quatro;SDCC;SDCC;-21.7158, -41.4817
BR-0131;small_airport;Fazenda Brauna Airport;1309.0;SA;BR;BR-TO;Arraias;SDBZ;TO0011;-12.549442, -46.886701
BR-0132;small_airport;Tunui Airport;340.0;SA;BR;BR-AM;Tunui;;;1.387973, -68.158747
BR-0133;small_airport;Itaberaí Go Airport;;SA;BR;BR-GO;Itaberaí;;;-16.023533, -49.76983
BR-0134;small_airport;Sanclerlândia Airport;;SA;BR;BR-GO;Sanclerlândia;;;-16.208928, -50.336632
BR-0135;small_airport;Goiás Airport;;SA;BR;BR-GO;Goiás;;;-15.920225, -50.193045
BR-0136;small_airport;Itapuranga Airport;;SA;BR;BR-GO;Itapuranga;;;-15.545172, -49.944283
BR-0137;small_airport;Uruana Airport;;SA;BR;BR-GO;Uruana;;;-15.520599, -49.690334
BR-0138;small_airport;Morro Agudo de Goiás Airport;;SA;BR;BR-GO;Morro Agudo de Goiás;;;-15.332789, -50.046968
BR-0139;small_airport;Asas de Balsa Nova Airport;2907.0;SA;BR;BR-PR;Balsa Nova;SJPR;PR0059;-25.549311, -49.643565
BR-0140;small_airport;Mara Rosa Airport;;SA;BR;BR-GO;Mara Rosa;;;-14.036961, -49.164362
BR-0141;small_airport;Amaralina Airport;;SA;BR;BR-GO;Amaralina;;;-13.941568, -49.277504
BR-0142;small_airport;Mutunópolis Airport;;SA;BR;BR-GO;Mutunópolis;;;-13.745957, -49.284566
BR-0143;small_airport;Santa Tereza de Goiás Airport;;SA;BR;BR-GO;Santa Tereza de Goiás;;;-13.733495, -49.039767
BR-0144;small_airport;Talismã Airport;;SA;BR;BR-TO;Talismã;;;-12.804638, -49.091759
BR-0145;small_airport;Araguaçu Airport;;SA;BR;BR-TO;Araguaçu;;;-12.948367, -49.821905
BR-0146;small_airport;Figueirópolis Airport;;SA;BR;BR-TO;Figueirópolis;;;-12.149681, -49.184142
BR-0147;small_airport;Alvorada Airport;;SA;BR;BR-TO;Alvorada;;;-12.499175, -49.108361
BR-0148;small_airport;São Domingos Airport;;SA;BR;BR-TO;Alvorada;;;-12.493611, -49.149912
BR-0149;small_airport;Formoso do Araguaia Airport;;SA;BR;BR-TO;Formoso do Araguaia;;;-11.81529, -49.570035
BR-0150;small_airport;Formoso do Araguaia North Airport;;SA;BR;BR-TO;Formoso do Araguaia;;;-11.782479, -49.571696
BR-0151;small_airport;Aliança do Tocantins Airport;;SA;BR;BR-TO;Aliança do Tocantins;;;-11.295845, -48.926706
BR-0152;small_airport;Fátima Airport;;SA;BR;BR-TO;Fátima;;;-10.755197, -48.915027
BR-0153;small_airport;Crixás Airport;1542.0;SA;BR;BR-GO;Crixás;SN9Z;GO0348;-14.538299, -49.934767
BR-0154;small_airport;Fazenda Rio Crixás Airport;912.0;SA;BR;BR-GO;Fazenda Rio Crixás;SDFI;GO0038;-13.738055, -50.014167
BR-0155;small_airport;Autazes Airport;69.0;SA;BR;BR-AM;Autazes;SJZ5;AM0112;-3.598333, -59.126286
BR-0156;small_airport;Marreca Airport;;SA;BR;BR-MT;Marreca;;;-10.183659, -52.098914
BR-0157;small_airport;Paranorte Airport;;SA;BR;BR-MT;Paranorte;;;-10.387302, -57.717399
BR-0158;small_airport;Fontanillas Airport;;SA;BR;BR-MT;Fotanillas;;;-11.324983, -58.351633
BR-0159;small_airport;Teles Pires Lodge Airport;489.0;SA;BR;BR-MT;Apiacás;SWRP;SWRP;-8.863569, -57.420427
BR-0160;small_airport;Genil Motta Airport;1854.0;SA;BR;BR-MT;Itiquira;SI3B;MT0549;-17.181368, -54.151611
BR-0161;small_airport;Rio Verde de Mato Grosso Airport;;SA;BR;BR-MS;Rio Verde de Mato Grosso;;;-18.908559, -54.83163
BR-0162;small_airport;Piraí do Sul Airport;;SA;BR;BR-PR;Piraí do Sul;;;-24.543221, -49.917876
BR-0163;small_airport;Chapada Gaúcha Airport;;SA;BR;BR-MG;Chapada Gaúcha;;;-15.30438, -45.631698
BR-0164;small_airport;Serra das Araras Airfield;;SA;BR;BR-MG;Serra das Araras;;;-15.563234, -45.414942
BR-0165;small_airport;Pandeiros Airfield;;SA;BR;BR-MG;Pandeiros;;;-15.462997, -44.847414
BR-0166;small_airport;São Francisco Airport;;SA;BR;BR-MG;São Francisco;;;-15.972953, -44.817481
BR-0167;small_airport;Brasília de Minas Airstrip;;SA;BR;BR-MG;Brasília de Minas;;;-16.221298, -44.350793
BR-0168;small_airport;Ermidinha Airport;;SA;BR;BR-MG;Ermidinha;;;-16.433654, -44.056839
BR-0169;small_airport;Capitão Enéas Airfield;;SA;BR;BR-MG;Capitão Enéas;;;-16.31566, -43.710081
BR-0170;small_airport;Coração de Jesus Airport;;SA;BR;BR-MG;Coração de Jesus;;;-16.659434, -44.355019
BR-0171;small_airport;Fazenda Agropecuária Nossa Senhora Aparecida Airstrip;1732.0;SA;BR;BR-MG;Paredão de Minas;SWSH;MG0203;-17.124599, -45.604362
BR-0172;small_airport;Fazenda Gleba da Barra Airport;1700.0;SA;BR;BR-MG;Brasilândia de Minas;SDCK;MG0080;-17.014176, -46.073434
BR-0173;small_airport;Canabrava Airstrip;;SA;BR;BR-MG;Canabrava;;;-17.085435, -45.881673
BR-0174;heliport;Ama Heliport;2687.0;SA;BR;BR-SP;Arujá;SNHL;SNHL;-23.433334, -46.308611
BR-0175;small_airport;Fazenda Boa Sorte Airport;955.0;SA;BR;BR-TO;Aliança do Tocantins;SDCE;TO0012;-11.304256, -48.679433
BR-0176;small_airport;Fazenda Rosa dos Ventos Airport;1814.0;SA;BR;BR-GO;Itumbiara;SDCH;GO0037;-18.311111, -49.838194
BR-0177;small_airport;Fazenda Nictheroy Airport;699.0;SA;BR;BR-AC;Rio Branco;SWNC;AC0012;-10.2675, -67.698
BR-0178;small_airport;Francisco Ramalho Airport;132.0;SA;BR;BR-MA;Pedreiras;SWRF;SWRF;-4.58443, -44.546242
BR-0179;small_airport;Caxias Airport;;SA;BR;BR-MA;Caxias;;;-4.83672, -43.335108
BR-0180;heliport;Itanhanga Golf Club Heliport;20.0;SA;BR;BR-RJ;Rio de Janeiro;SNVW;RJ0139;-22.998333, -43.309444
BR-0181;small_airport;Fazenda Santarém Airport;1900.0;SA;BR;BR-MS;Bandeirantes;SNWL;MS0235;-20.040262, -54.151159
BR-0182;small_airport;Fazenda Roseira Airport;1181.0;SA;BR;BR-MA;São Raimundo das Mangabeiras;SWWR;MA0053;-7.230963, -45.881872
BR-0183;small_airport;Aero Agricola Rio Claro Airport;1165.0;SA;BR;BR-MT;São José do Rio Claro;SJRT;MT0215;-13.434683, -56.730358
BR-0184;small_airport;Arenápolis Airstrip;;SA;BR;BR-MT;Arenápolis;;;-14.498655, -56.851413
BR-0185;small_airport;Altamira Airport;;SA;BR;BR-PA;Cachoeira Da Serra;;;-8.642135, -55.041072
BR-0186;heliport;Colombo III Heliport;1334.0;SA;BR;BR-BA;Santa Albertina;;SNEP;-20.040668, -50.67882
BR-0187;heliport;Hospital Geral de Palmares Heliport;540.0;SA;BR;BR-PE;Palmares;;;-8.685695, -35.57579
BR-0188;heliport;Duets Helipad;236.0;SA;BR;BR-CE;Fortaleza;SDDU;CE0027;-3.741327, -38.487328
BR-0189;heliport;Marina Verolme Heliport;13.0;SA;BR;BR-RJ;Angra dos Reis;SDDW;RJ0034;-22.998636, -44.248984
BR-0190;heliport;Iguatemi Esplanada Heliport;2359.0;SA;BR;BR-SP;Sorocaba;SDEE;SP0314;-23.536107, -47.46452
BR-0191;small_airport;Sérgio Bonifácio Airport;2277.0;SA;BR;BR-PR;Ivaiporã;SJKK;PR0057;-24.263589, -51.639318
BR-0192;small_airport;Tamarana Metais Airport;2595.0;SA;BR;BR-PR;Tamarana;;;-23.717042, -51.116039
BR-0193;small_airport;Cachoeira Porteira Airport;;SA;BR;BR-PA;Cachoeira Porteira;;;-1.066046, -57.052612
BR-0194;small_airport;Ponta de Pedras Airstrip;16.0;SA;BR;BR-PA;Ponta de Pedras;;;-1.397869, -48.856931
BR-0195;small_airport;Muaná Airstrip;15.0;SA;BR;BR-PA;Muaná;;;-1.536895, -49.232689
BR-0196;small_airport;Curralinho Airstrip;14.0;SA;BR;BR-PA;Curralinho;;;-1.797103, -49.801873
BR-0197;small_airport;Fazenda Chapadão Alegre Airport;2530.0;SA;BR;BR-BA;Correntina;SSDH;BA0153;-13.434996, -45.307717
BR-0198;small_airport;Fazenda Água Boa Airport;817.0;SA;BR;BR-MT;Juara;SIKX;MT0103;-11.176732, -57.669051
BR-0199;small_airport;Fazenda Estivado Airport;;SA;BR;BR-MT;Diamantino;SWEZ;;-14.422748, -56.071279
BR-0200;small_airport;Santa Terezinha de Goiás Airstrip;;SA;BR;BR-GO;Santa Terezinha de Goiás;;;-14.453288, -49.67461
BR-0201;small_airport;Alto Horizonte Airport;;SA;BR;BR-GO;Alto Horizonte;;;-14.196032, -49.362951
BR-0202;small_airport;Taipas do Tocantins Airstrip;;SA;BR;BR-TO;Taipas do Tocantins;;;-12.178581, -46.970934
BR-0203;small_airport;Conceição do Tocantins Airstrip;;SA;BR;BR-TO;Conceição do Tocantins;;;-12.228285, -47.277564
BR-0204;small_airport;Conceição do Tocantins West Airstrip;;SA;BR;BR-TO;Conceição do Tocantins;;;-12.231261, -47.32664
BR-0205;small_airport;Bonfim Airstrip;;SA;BR;BR-TO;Bonfim;;;-11.826265, -47.626364
BR-0206;small_airport;Natividade Airstrip;;SA;BR;BR-TO;Natividade;;;-11.706552, -47.750419
BR-0207;small_airport;Mateiros Airport;;SA;BR;BR-TO;Mateiros;;;-10.562528, -46.429861
BR-0208;small_airport;São Félix do Tocantins Airstrip;;SA;BR;BR-TO;São Félix do Tocantins;;;-10.161665, -46.667359
BR-0209;small_airport;Galhão Airstrip;;SA;BR;BR-TO;Galhão;;;-10.604769, -46.249508
BR-0210;small_airport;Dois Irmãos do Tocantins Airstrip;;SA;BR;BR-TO;Dois Irmãos do Tocantins;;;-9.25308, -49.055964
BR-0211;small_airport;Caseara Airstrip;;SA;BR;BR-TO;Caseara;;;-9.302872, -49.946237
BR-0212;small_airport;Pequizeiro Airstrip;876.0;SA;BR;BR-TO;Pequizeiro;;;-8.586875, -48.946678
BR-0213;small_airport;Colméia Airstrip;;SA;BR;BR-TO;Colméia;;;-8.747707, -48.764792
BR-0214;small_airport;Itaporã do Tocantins Airstrip;1250.0;SA;BR;BR-TO;Itaporã do Tocantins;;;-8.564261, -48.702882
BR-0215;small_airport;Bernardo Sayão Airstrip;;SA;BR;BR-TO;Bernardo Sayão;;;-7.875086, -48.895373
BR-0216;small_airport;Bandeirantes do Tocantins Airstrip;;SA;BR;BR-TO;Bandeirantes do Tocantins;;;-7.773402, -48.559079
BR-0217;small_airport;Palmeirante Airstrip;;SA;BR;BR-TO;Palmeirante;;;-7.850755, -47.924564
BR-0218;small_airport;Goiatins Airstrip;;SA;BR;BR-TO;Goiatins;;;-7.707254, -47.330409
BR-0219;small_airport;Arapoema Airstrip;;SA;BR;BR-TO;Arapoema;;;-7.645339, -49.058384
BR-0220;small_airport;Avelino Remor Airstrip;676.0;SA;BR;BR-PA;Rio Maria;SD7W;PA0273;-7.301063, -50.049915
BR-0221;small_airport;Aragominas Airstrip;;SA;BR;BR-TO;Aragominas;;;-7.170034, -48.533374
BR-0222;small_airport;Wanderlândia Airstrip;;SA;BR;BR-TO;Wanderlândia;;;-6.823287, -47.978165
BR-0223;small_airport;Piraquê Airstrip;;SA;BR;BR-TO;Piraquê;;;-6.782418, -48.289209
BR-0224;small_airport;Xambioá Airstrip;;SA;BR;BR-TO;Xambioá;;;-6.418838, -48.550643
BR-0225;small_airport;Ananás Airstrip;;SA;BR;BR-TO;Ananás;;;-6.341518, -48.073813
BR-0226;small_airport;Arinos Airstrip;;SA;BR;BR-MG;Arinos;;;-15.890444, -46.099357
